Source:,/Users/sreenieadara/Documents/iGEM/iGEM.kicad_sch,,,,,,,,,,,,,,,,,,,,,,
Date:,"Friday, August 26, 2022 at 10:13:14 PM",,,,,,,,,,,,,,,,,,,,,,
Tool:,Eeschema (6.0.7-1)-1,,,,,,,,,,,,,,,,,,,,,,
Generator:,/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py,,,,,,,,,,,,,,,,,,,,,,
Component Count:,55,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Individual Components:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Arrow Part Number,Arrow Price/Stock,Category,DK_Datasheet_Link,DK_Detail_Page,Description,Digi-Key_PN,DigiKey,Family,Height,MPN,Manufacturer,Manufacturer_Name,Manufacturer_Part_Number,Mouser Part Number,Mouser Price/Stock,Status
,,C1,0.1 uF,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,,,,,,,399-C0805C104K8RAC7800CT-ND,,,,,,,,,
,,C2,0.1 uF,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,,,,,,,399-C0805C104K8RAC7800CT-ND,,,,,,,,,
,,C3,0.1 uF,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,,,,,,,399-C0805C104K8RAC7800CT-ND,,,,,,,,,
,,C4,0.1 uF,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,,,,,,,399-C0805C104K8RAC7800CT-ND,,,,,,,,,
,,C5,0.1 uF,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,,,,,,,399-C0805C104K8RAC7800CT-ND,,,,,,,,,
,,C6,0.1 uF,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,,,,,,,399-C0805C104K8RAC7800CT-ND,,,,,,,,,
,,C7,4.7 uF,Device:C_Polarized,Capacitor_Tantalum_SMD:CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder,~,,,,,,,,399-3723-1-ND,,,,,,,,,
,,C8,0.1 uF,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,,,,,,,399-C0805C104K8RAC7800CT-ND,,,,,,,,,
,,C9,10000 uF,Device:C_Polarized,Capacitor_THT:CP_Radial_D22.0mm_P10.00mm_SnapIn,~,,,,,,,,399-ELG109M025AQ4AA-ND,,,,,,,,,
,,C10,0.1 uF,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,,,,,,,399-C0805C104K8RAC7800CT-ND,,,,,,,,,
,,C11,0.1 uF,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,,,,,,,399-C0805C104K8RAC7800CT-ND,,,,,,,,,
,,C12,0.1 uF,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,,,,,,,399-C0805C104K8RAC7800CT-ND,,,,,,,,,
,,C13,0.1 uF,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,,,,,,,399-C0805C104K8RAC7800CT-ND,,,,,,,,,
,,D1,1N4732A,Diode:1N47xxA,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,https://www.vishay.com/docs/85816/1n4728a.pdf,,,,,,,,1N4732AFSCT-ND,,,,,,,,,
,,D2,SB2060,Device:D_Schottky,Diode_THT:D_DO-201AD_P12.70mm_Horizontal,~,,,,,,,,1655-SB2060CT-ND,,,,,,,,,
,,D3,SB2060,Device:D_Schottky,Diode_THT:D_DO-201AD_P12.70mm_Horizontal,~,,,,,,,,1655-SB2060CT-ND,,,,,,,,,
,,D4,SB2060,Device:D_Schottky,Diode_THT:D_DO-201AD_P12.70mm_Horizontal,~,,,,,,,,1655-SB2060CT-ND,,,,,,,,,
,,D5,SB2060,Device:D_Schottky,Diode_THT:D_DO-201AD_P12.70mm_Horizontal,~,,,,,,,,1655-SB2060CT-ND,,,,,,,,,
